,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
32069,57030,NIFTY23DEC2526400CE,NIFTY,23DEC2025,2640000.000000,75,OPTIDX,NFO,5.000000
32070,57038,NIFTY23DEC2526600CE,NIFTY,23DEC2025,2660000.000000,75,OPTIDX,NFO,5.000000
32071,57046,NIFTY23DEC2526800CE,NIFTY,23DEC2025,2680000.000000,75,OPTIDX,NFO,5.000000
32072,57047,NIFTY23DEC2526800PE,NIFTY,23DEC2025,2680000.000000,75,OPTIDX,NFO,5.000000
32073,57065,NIFTY23DEC2527250PE,NIFTY,23DEC2025,2725000.000000,75,OPTIDX,NFO,5.000000
32074,57071,NIFTY23DEC2527400PE,NIFTY,23DEC2025,2740000.000000,75,OPTIDX,NFO,5.000000
32075,57076,NIFTY23DEC2527550CE,NIFTY,23DEC2025,2755000.000000,75,OPTIDX,NFO,5.000000
32076,57077,NIFTY23DEC2527550PE,NIFTY,23DEC2025,2755000.000000,75,OPTIDX,NFO,5.000000
32112,58570,NIFTY27JAN2623850PE,NIFTY,27JAN2026,2385000.000000,65,OPTIDX,NFO,5.000000
32113,58571,NIFTY27JAN2623900CE,NIFTY,27JAN2026,2390000.000000,65,OPTIDX,NFO,5.000000
32114,58587,NIFTY27JAN2624300CE,NIFTY,27JAN2026,2430000.000000,65,OPTIDX,NFO,5.000000
32115,58595,NIFTY27JAN2624500CE,NIFTY,27JAN2026,2450000.000000,65,OPTIDX,NFO,5.000000
32116,58611,NIFTY27JAN2624800CE,NIFTY,27JAN2026,2480000.000000,65,OPTIDX,NFO,5.000000
32117,58614,NIFTY27JAN2624850PE,NIFTY,27JAN2026,2485000.000000,65,OPTIDX,NFO,5.000000
32118,58649,NIFTY29DEC2622000PE,NIFTY,29DEC2026,2200000.000000,75,OPTIDX,NFO,5.000000
32121,58710,NIFTY27JAN2625450PE,NIFTY,27JAN2026,2545000.000000,65,OPTIDX,NFO,5.000000
32122,58789,NIFTY27JAN2625750PE,NIFTY,27JAN2026,2575000.000000,65,OPTIDX,NFO,5.000000
32123,58811,NIFTY27JAN2626250CE,NIFTY,27JAN2026,2625000.000000,65,OPTIDX,NFO,5.000000
32124,58812,NIFTY27JAN2626250PE,NIFTY,27JAN2026,2625000.000000,65,OPTIDX,NFO,5.000000
32125,58830,NIFTY27JAN2626650PE,NIFTY,27JAN2026,2665000.000000,65,OPTIDX,NFO,5.000000
32126,58836,NIFTY27JAN2626800PE,NIFTY,27JAN2026,2680000.000000,65,OPTIDX,NFO,5.000000
32127,58864,NIFTY27JAN2627500CE,NIFTY,27JAN2026,2750000.000000,65,OPTIDX,NFO,5.000000
32128,58869,NIFTY27JAN2627550CE,NIFTY,27JAN2026,2755000.000000,65,OPTIDX,NFO,5.000000
32129,58875,NIFTY27JAN2627700CE,NIFTY,27JAN2026,2770000.000000,65,OPTIDX,NFO,5.000000
32220,60898,NIFTY25JUN3021000CE,NIFTY,25JUN2030,2100000.000000,75,OPTIDX,NFO,5.000000
32221,60902,NIFTY25JUN3023000CE,NIFTY,25JUN2030,2300000.000000,75,OPTIDX,NFO,5.000000
32222,60911,NIFTY25JUN3027000PE,NIFTY,25JUN2030,2700000.000000,75,OPTIDX,NFO,5.000000
32237,61403,NIFTY24DEC2919000PE,NIFTY,24DEC2029,1900000.000000,75,OPTIDX,NFO,5.000000
32256,61772,NIFTY24DEC2925000CE,NIFTY,24DEC2029,2500000.000000,75,OPTIDX,NFO,5.000000
32257,61795,NIFTY24DEC2927000PE,NIFTY,24DEC2029,2700000.000000,75,OPTIDX,NFO,5.000000
32261,61914,NIFTY24DEC2929000CE,NIFTY,24DEC2029,2900000.000000,75,OPTIDX,NFO,5.000000
32264,61933,NIFTY24DEC2930000PE,NIFTY,24DEC2029,3000000.000000,75,OPTIDX,NFO,5.000000
32302,62918,NIFTY31MAR2621000CE,NIFTY,31MAR2026,2100000.000000,75,OPTIDX,NFO,5.000000
32303,62929,NIFTY31MAR2626000PE,NIFTY,31MAR2026,2600000.000000,75,OPTIDX,NFO,5.000000
32304,62956,NIFTY31MAR2631000CE,NIFTY,31MAR2026,3100000.000000,75,OPTIDX,NFO,5.000000
32414,64790,NIFTY24FEB2624050CE,NIFTY,24FEB2026,2405000.000000,65,OPTIDX,NFO,5.000000
32415,64802,NIFTY24FEB2624350CE,NIFTY,24FEB2026,2435000.000000,65,OPTIDX,NFO,5.000000
32416,64804,NIFTY24FEB2624400CE,NIFTY,24FEB2026,2440000.000000,65,OPTIDX,NFO,5.000000
